time,flux
2891.718490876149,113429.4296875
2891.7411760390796,113376.7421875
2891.763629719241,113275.4921875
2891.7863148798433,114134.265625
2891.808768558608,115195.1796875
2891.8314537168826,115148.5859375
2891.8539073928523,115247.875
2891.8765925492644,114963.6328125
2891.8992777042786,115418.5625
2891.921731377455,114931.4140625
2891.944416530142,115175.609375
2891.9668702009894,114920.59375
2891.9895553518136,115106.78125
2892.0120090203327,115053.9765625
2892.034694169294,115166.984375
2892.0573793168587,114731.96875
2892.079832982118,115092.8125
2892.1025181273544,115015.671875
2892.1249717907517,115064.125
2892.147656933659,114962.84375
2892.1703420756367,114930.796875
2892.1927957357734,115056.4765625
2892.2154808754226,115074.53125
2892.237934533232,115161.8828125
2892.260619671017,114992.0546875
2892.283073326498,114965.40625
2892.305758461955,114789.625
2892.3284435964806,115119.1953125
2892.3508972487025,114867.3125
2892.373582381365,115357.4140625
2892.3960360312585,115081.59375
2892.418721161127,115065.2265625
2892.441174809158,115109.3671875
2892.4638599371647,115050.328125
2892.486545063774,115147.8515625
2892.508998708545,115315.4453125
2892.5316838332915,115045.609375
2892.554137475734,115120.4453125
2892.576822598153,115044.0546875
2892.5992762387323,114926.4921875
2892.621961358823,115132.109375
2892.644646477981,115019.3828125
2892.667100114836,114883.5078125
2892.6897852316683,115085.9609375
2892.71223886666,114888.03125
2892.7349239811624,115139.3046875
2892.7573776142917,114976.8203125
2892.7800627264655,115117.75
2892.8027478381746,115041.0390625
2892.8252014675777,115071.4921875
2892.847886576493,115055.78125
2892.8703402040337,114979.65625
2892.8930253110857,115443.3046875
2892.9157104167402,113533.6328125
2892.9381640410215,114091.9921875
2892.9608491443482,113448.890625
2892.9833027663035,114242.25
2893.0059878677666,113853.03125
2893.0284414873922,115316.703125
2893.0511265869936,114963.7890625
2893.073811685197,115134.2890625
2893.096265301563,115266.1484375
2893.1189503974383,115267.6796875
2893.141404011476,114926.53125
2893.1640891054894,114898.8515625
2893.1865427176635,115002.109375
2893.2092278088844,114865.1796875
2893.2319128996373,115036.3359375
2893.2543665080866,114937.90625
2893.277051596512,115301.9609375
2893.2995052030983,115176.1328125
